Title,Also Known As,Written By,Director,Cast,Genre,Network,Episodes,Release Dates,Poster,Description
Love Me When You Can,N/A,Seo Young-myung,"Jang Geun-soo
Kim Woo-sun","Ha Hee-ra
Kim Yoon-seok
Kim Bo-ra
Lee Min-jung
Sunwoo Yong-nyeo","Drama
Romance
Family",Munhwa Broadcasting Corporation,186,"July 9, 2006 –
April 18, 2007",N/A,"After discovering her husband's affair, Oh Sun-ae (Ha Hee-ra) tries to start a new life, but when the past (along with the new woman) just won't go away, moving on is not easy. Still, Oh Sun-ae is determined."
Forever Young (2014 TV series),N/A,N/A,"Nguyễn Khải Anh
Bùi Tiến Huy
Myung Hyun-woo","Nhã Phương
Kang Tae-oh","Drama
Romance",MBC,74,"23 June –
30 July 2015",N/A,"Thùy Linh – a beautiful, innocent girl pampered by her parents, has realized her dream of coming to Korea to study and satisfy her passion for K-pop and Korean culture. Linh entered an independent life in South Korea with a scholarship at a university in Seoul. Incidentally sharing the inn with Khanh, Mai and Lee Jun-su – the son of the beautiful but rebellious hostess, Linh has had many difficulties when Jun-su is the popular idol who always troubles her. Many people with different personalities and preferences living under one roof would not be reconciled. Still, all four of them and their other friends overcame all disagreements and had a good time. Remember with full of happy and sad memories, so that when we look back, everyone will not regret having lived their best in their youth."
Miss Night and Day,N/A,Park Ji-ha[2],"Lee Hyeong-min[2]
Choi Sun-min[2]","Lee Jung-eun
Jung Eun-ji
Choi Jin-hyuk","Romantic comedy[1]
Fantasy
Mystery",JTBC,16,"June 15 –
August 4, 2024",N/A,"Miss Night and Daytells the story about a job seeker who is suddenly stuck in old age one day and aprosecutorwho is caught up in her all the time. Lim Soon, a woman in her 50s, is a secondary character to Lee Mi-jin, who goes to work as a publicinternwhen the sun rises."
Soundtrack 1,Soundtrack No. 1,Ahn Sae-bom,Kim Hee-won,"Park Hyung-sik
Han So-hee","Romance
Music",Disney+,4,"March 23 –
April 13, 2022",N/A,"A man and a woman who have been best friends for 20 years, get to know each other while staying in the same house for two weeks.[6]"
Love Can't Wait (TV series),The Love That Will Not Be Stopped by Anyone,Jung Hyung-jung,"Lee Tae-gon
Kim Dae-jin","Hong Kyung-min
Lee Young-ah
Choi Jung-yoon
Choi Kyu-hwan",N/A,Munhwa Broadcasting Corporation,198,"January 1 –
July 2, 2006",N/A,"Cheerful and flighty high school senior Seo Eun-min (Lee Young-ah) meets Tae-kyeong (Hong Kyung-min), an independent and responsible law student, when she goes to the university library to run an errand for her sister. She instantly falls in love and lies to him that she's a scriptwriter. They start dating, and Tae-kyeong falls in love with the charming Eun-min. However, Eun-min's lie does not last long when they meet again as private tutor and student. Since Eun-min hates studying more than anything, Tae-kyeong tells her that she should do something else with her life if she does not want to go to college, and drags her to the Haja Center. Knowing that he has faith in her and wants what's best for her, Eun-min impulsively decides to marry him. Proud that Tae-kyeong is the first thing that's hers alone, at first Eun-min treats their marriage as an accomplishment in itself and their poor circumstances as a game: she does not mind that their ₩10 million basement apartment is windowless, and has leaky ceilings and rats. But the hardships of poverty and newlywed life soon make her grow up fast.[1]"
Behind the White Tower,"White Tower
Great White Tower
Inside the White Tower",Lee Ki-won,Ahn Pan-seok,"Kim Myung-min
Lee Sun-kyun",Medical drama,MBC TV,20,"January 6 –
March 11, 2007",N/A,"Brilliant and ambitious, assistant professor Jang Joon-hyuk (Kim Myung-min) is a rising star in the Myeongin University Hospitalsurgerydepartment. His knowledge and expertise is undeniable, but his cavalier confidence and cold personality has earned him more than a few enemies, including the department head. While Jang's drive stems from a desire for success and advancement, fellow doctor Choi Do-young (Lee Sun-kyun) is committed to the well-being of his patients, leading to frequent clashes with the practices and personnel within the hospital. With the head of the surgery department retiring, Jang seems to be the clear successor until a new rival emerges in the form of Noh Min-guk (Cha In-pyo), who has the backing of the department head. Jang, however, is determined to win at all costs.[12]"
First Love Again,N/A,Park Pil-joo,Yoon Chang-beom,"Myung Se-bin
Kim Seung-soo
Wang Bit-na
Park Jung-chul","Family
Melodrama
Romance
Revenge",KBS2,104,"November 28, 2016 –
April 21, 2017",N/A,"Lee Ha-jin has love and a talent for cooking, and is dating Cha Do-yoon, who unbeknownst to her, is the son of the chairman of LK group. Cha Do-yoon proposes to her which she accepts gladly, still unaware of his rich background. Cha Do-yoon's father wants his legitimate eldest son, Cha Do-yoon, to marry Baek Min-hui, the sole daughter and heir to Myunghua Foundation, so that he can get material benefits from her family. When both the Lee and Cha families meet at a formal meeting before the wedding, the enmity between the two is revealed, and they all disapprove of the marriage between Lee Ha-jin and Cha Do-yoon. The whole situation is further complicated by an unwanted pregnancy, with Baek Min-hui scheming to pass on her baby as Cha Do-yoon's child to keep the baby's life safe from the clutches of her mother, Chairwoman Kim of Myunghua Foundation. Will Baek Min-hui be able to separate Cha Do-yoon and Lee Ha-jin? Will Cha Do-yoon and Lee Ha-jin be able to forget their first love?"
Home Sweet Home (2010 TV series),"My Happy Home
My Sweet Home",N/A,"Oh Kyung-hoon
Lee Sung-joon","Kim Hye-soo
Hwang Shin-hye","Mystery
Melodrama",MBC TV,16,"October 27 –
December 23, 2010",N/A,"Kim Jin-seo (Kim Hye-soo) is a psychiatrist out to uncover the truth behind the death of Sung Eun-pil (Kim Kap-soo). In doing so, Kim realizes that the deceased Sung's wife, Mo Yoon-hee (Hwang Shin-hye), may not only have been involved in Sung's death but that she has also been having an affair with Kim's husband, Lee Sang-hyun (Shin Sung-woo).[3][4][5]"
Sweet Enemy,Sweet Revenge,Baek Young-sook,Lee Hyun-jik,"Park Eun-hye
Yoo Gun
Lee Jae-woo
Park Tae-in","Family
Melodrama
Revenge
Romance",SBS TV,124[a],"June 12 –
December 1, 2017",N/A,Oh Dal-Nim (Park Eun-Hye) is falsely accused of murder. She decides to take revenge on those responsible for misery.
Dream High,N/A,N/A,"Lee Eung-bok
Kim Seong-yoon","Bae Suzy
Kim Soo-hyun
Ok Taec-yeon
Hahm Eun-jung
Jang Wooyoung
Lee Ji-eun","Music
Teen
Romantic comedy",KBS2,16 (+1 special),"January 3 –
February 28, 2011",N/A,"Six students at Kirin High School share dreams of becomingK-pop idols, among others. During their school years, they learn how to develop their singing, songwriting and dancing skills while undergoing personal growth. They also start to develop feelings for one another. Each of them has their own strengths and weaknesses, but they strive to debut with the support and guidance of one another."
Sweet Buns,Red Bean Bread,Lee Sook-jin,Lee Jae-dong,"Choi Kang-hee
Park Gwang-hyun
Jung Chan
Jung So-young","Romance
Comedy
Drama",Munhwa Broadcasting Corporation,26,"July 4, 2004 –
January 16, 2005",N/A,"Ga-ran and Nam-joon were classmates in elementary school. Ga-ran is a tomboy who prefers trousers to skirts, and lovestaekwondomore than her piano lessons. Nam-joon on the other hand is Mr. Perfect who's got good looks, a fine brain, and is the most popular guy in school, especially among the girls. One day, Ga-ran sees Nam-joon giving away the sweet bun which Ga-ran's friend gave him, to another girl. Ga-ran throws herself at Nam-joon and beats him up, and their rivalry lasts throughout high school. A few years after college, Ga-ran and Nam-joon meet again as adults, both recovering from recent break-ups. Despite their constant bickering, they gradually realize that they're meant to be."
Someday (TV series),N/A,Kim Hee-jae,"Kim Kyeong-yong
Song Ik-jae (from episode 9)","Bae Doona
Kim Min-jun
Lee Jin-wook
Oh Yoon-ah",Romance,OCN,16,"November 11 –
December 29, 2006",N/A,"The series revolves around 4 characters: Hana, a successful manga artist who leaves Japan to go back to Korea; Go Jin Pyo, a doctor, and great admirer of Hana's books; Hye Young, a friend of his, who works in animation; and Lim Seok Man, a troubled personality."
Player (TV series),"The Player[1]
Player 2: War of Gamblers[2]
The Player 2: Master of Swindlers[3]","Shin Jae-hyung (season 1)[4]
Park Sang-moon (season 2)[2]
Choi Seul-gi (season 2)[2]","Go Jae-hyun (season 1)[4]
So Jae-hyun (season 2)[2]","Song Seung-heon
Krystal Jung
Lee Si-eon
Tae Won-seok
Oh Yeon-seo
Jang Gyu-ri","Action
Crime",tvN (season 2),26,"June 3 –
July 9, 2024",N/A,"The story about the four talented individuals in their respective fields who create an elite team to solve crimes in partnership with a righteous prosecutor. Together, they confiscateblack moneyand make sure that those who earn money through crimes will be arrested.[10]"
Who Are You? (2008 TV series),Who R U?,Bae Yoo-mi,"Shin Hyun-chang
Noh Jong-chan","Yoon Kye-sang
Go Ara
Kang Nam-gil","Comedy
Drama
Romance",MBC TV,17,"March 5 –
May 1, 2008",N/A,"Son Il-gun is a middle-aged deliveryman and devoted father to his daughter, Young-in. Young-in just graduated from high school and is an aspiringcartoonist, but she is working part-time instead of going to college due to financial difficulties, which the quick-tempered young woman partly blames on her ""loser"" father. She has no idea that Il-gun was once a struggling artist in his youth, but now that one of his paintings was sold for an exorbitant amount to a collector in New York, a local gallery offers Il-gun a solo exhibition. But before he can make a decision, Il-gun dies in a traffic accident, leaving Young-in penniless. According toBuddhism, the soul of a dead person is allowed to wander for49 daysin order to let go of all earthly attachments before going to the afterlife. But Il-gun loves his daughter so much that he takes it one step further, andpossessesa stranger's body to care for Young-in and make it up to her."
The Story of Park's Marriage Contract,N/A,Go Nam-jeong[4],"Park Sang-hoon[4]
Kang Chae-won[3]","Lee Se-young
Bae In-hyuk
Joo Hyun-young
Yoo Seon-ho
Jo Bok-rae","Romantic comedy[1]
Period drama[2]
Fantasy[2]",MBC TV,12,"November 24, 2023 –
January 6, 2024",N/A,"The Story of Park's Marriage Contracttells the story of Park Yeon-woo, aJoseonConfucian girl who struggles to return to Joseon after time-travelling 200 years in time to the year 2023 after being thrown into a well (murdered at the behest of her mother-in-law) by an unknown person after the death of her husband, Kang Tae-ha. This ""murder"" is driven by the advantages accrued byvirtuous women'sfamilies."
Flower of Evil (South Korean TV series),N/A,Yoo Jung-hee,Kim Cheol-kyu,"Lee Joon-gi
Moon Chae-won
Jang Hee-jin
Seo Hyun-woo","Romance[1]
Mystery[1]
Thriller[1]",TVN,16,"July 29 –
September 23, 2020",N/A,"Baek Hee-sung (Lee Joon-gi) is a man who hides his identity and past from his wife Cha Ji-won (Moon Chae-won), a detective. On the surface, they seem to be the perfect family with a six-year-old daughter who loves her parents. Cha Ji-won and her colleagues begin investigating a series of unexplained murders and she is confronted with the reality that her seemingly perfect husband may be hiding something from her."
Two Mothers (TV series),N/A,Hwang Soon-Young,Kwak Ki-Won,"Jang Seo-Hee
Lee Chae-Young","Melodrama
Romance
Family
Revenge",KBS2,102,"June 3 –
November 7, 2014",N/A,"Hwa-young believes that Yeon-hee, her brother's ex-girlfriend, drove him to his death. When the sadness married Yeon-hee is diagnosed withuterine cancer, Hwa-young volunteers to become asurrogate motherfor her, all the while planning her revenge. Hwa-young conceives and gives birth, lets Yeon-hee raise the child, then destroys Yeon-hee by trying to take the child back. Later, Yeon-hee tries her best to get her child back. Yeon-hee's husband regrets for letting Yeon-hee go.[2]"
Love for a Thousand More,"1,000th Year Dating
Thousand Years of Love","Kwak Kyung-yoon
Na Jae-won
Seo Ji-young","Kim Ki-yoon
Park Bong-sub","Kang Seung-yoon
Hwang Seung-eon","Web series
Romance
Fantasy",Naver TV Cast,10,"December 5 –
December 23, 2016",N/A,"This is a story about a 1,000-year-old woman named Pyeon Mi-jo (Hwang Seung-eon), who became immortal after she met a certain unidentified man. She offers love counseling services to people based on her experiences over the past 1,000 years, until she finds true love with Yoo Jun-woo (Kang Seung-yoon), who is the leader of the hip-hop crewKrunk Soul.[5]"
Marry Me Now,N/A,Park Pil-joo,Yoon Chang-beom,"Han Ji-hye
Lee Sang-woo","Family
Melodrama",KBS2,50[a],"March 17 –
September 9, 2018",N/A,"The drama centers around a balanced, multigenerational family."
The Sound of Magic,N/A,Kim Min-jeong,Kim Seong-yoon,"Ji Chang-wook
Choi Sung-eun
Hwang In-youp","Musical
Fantasy
Coming of Age",Netflix,6,"May 6, 2022",N/A,"Yoon Ah-yi, an impoverished student at Sewoon High School, has stopped believing in magic since childhood, and, after significant misfortunes, wishes to grow up faster to escape the stress of her life. She then meets Ri Eul, a magician who wants to remain a child even though he's an adult. After being a frequent visitor of Ri Eul's residence at an abandoned amusement park, Ah-yi's classmate Na Il-deung, a cold and well-off student, starts to spy on her magic lessons and as a result starts to show a liking for Ah-yi and magic. Ah-yi's life changes as she becomes a follower of Ri Eul, once again believing in magic and pursuing her dreams.[7]"
Come Back Mister,"Please Come Back, Mister
Come Back, Uncle
Come Back, Ahjussi
Come Back Alive",Noh Hye-young,Shin Yoon-sub,"Rain
Oh Yeon-seo
Kim In-kwon
Kim Soo-ro
Lee Min-jung
Lee Hanee
Ji Ha-yoon
Choi Won-young
Yoon Park","Melodrama
Comedy
Fantasy
Romance",SBS,16,"24 February –
14 April 2016",N/A,"Kim Young-soo (Kim In-kwon) is a section chief in the women's apparel section at Sunjin's department store. He and his wife Shin Da-hye (Lee Min-jung) do not get along because his long work hours and constant overtime distract him from home. During one of these overtimes, he accidentally falls from a roof and is killed. His company writes his death off as a suicide in order to not receive blame for overworking him."
Rosy Lovers,"Rosy Couple
Love Rosy",Kim Sa-kyung,"Yoon Jae-moon
Jung Ji-in","Lee Jang-woo
Han Sun-hwa","Romance
Family
Comedy
Melodrama",Munhwa Broadcasting Corporation,52,"October 18, 2014 –
April 12, 2015",N/A,"Baek Jang-mi is a sophomore majoring in design, a rich girl who grew up without experiencing any hardship in life. Jang-mi's parents want to marry her off to an eligible man they chose for her, but she rebels and begins dating engineering student Park Cha-dol. Lively and outgoing Cha-dol was raised by a single mother, and he's eager to graduate and start earning money to take care of his mom. But when Jang-mi gets pregnant, she and Cha-dol are forced to change their plans, and must begin raising a child while both are still in college. In the process, they slowly gain maturity and learn the true meaning of love.[5]"
